# femnist-tangle
{'accuracy': 0.02139013550453855, 'loss': 4.122910935514972, 'consensus_round': 0.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.08914574234051993, 'loss': 3.6121186863148984, 'consensus_round': 9.5, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.18375840486813683, 'loss': 3.6810200410633485, 'consensus_round': 17.5, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.5129866478639591, 'loss': 2.0601641581717574, 'consensus_round': 28.5, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.5553744259949097, 'loss': 1.6954493318677253, 'consensus_round': 38.5, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.5601025408639478, 'loss': 1.5461725493223246, 'consensus_round': 47.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6760004624257911, 'loss': 1.1659491898897287, 'consensus_round': 58.5, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.7200896899424643, 'loss': 1.0017972193283902, 'consensus_round': 69.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6352502654969003, 'loss': 1.386427952498986, 'consensus_round': 78.5, 'consensus_poisoning': 0.0, 'norm': 1.2376348972320557},
{'accuracy': 0.6754186122742187, 'loss': 1.0386251780870819, 'consensus_round': 88.5, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6911429456697875, 'loss': 0.9896614386655039, 'consensus_round': 98.5, 'consensus_poisoning': 0.0, 'norm': 0.0},


# femnist-tanglec
{'accuracy': 0.02139013550453855, 'loss': 4.122910935514972, 'consensus_round': 0.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.08360651548977056, 'loss': 3.6836783498940395, 'consensus_round': 9.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.11952001559480868, 'loss': 3.7680705697956407, 'consensus_round': 17.666666666666668, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.5198068995579211, 'loss': 2.0673046573728038, 'consensus_round': 28.333333333333336, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6037504394430974, 'loss': 1.510913964168495, 'consensus_round': 38.66666666666667, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6133664178057167, 'loss': 1.7165925712486279, 'consensus_round': 47.666666666666664, 'consensus_poisoning': 0.0, 'norm': 0.7210878133773804},
{'accuracy': 0.668481030961383, 'loss': 1.1824668809931003, 'consensus_round': 58.33333333333333, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6876079064063803, 'loss': 1.1330858856293027, 'consensus_round': 68.66666666666669, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6888742073889625, 'loss': 1.0631244728249247, 'consensus_round': 78.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.7304648005408868, 'loss': 0.897299803749592, 'consensus_round': 88.66666666666664, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.7635690596852915, 'loss': 0.8105863712623086, 'consensus_round': 98.0, 'consensus_poisoning': 0.0, 'norm': 0.0},


# femnist-tanglec-poisoning
{'accuracy': 0.02139013550453855, 'loss': 4.122910935514972, 'consensus_round': 0.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.03878307047660335, 'loss': 3.796408490977411, 'consensus_round': 9.333333333333332, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.3417159959493489, 'loss': 2.951362424713864, 'consensus_round': 18.333333333333332, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.4539381821238614, 'loss': 2.137014719249932, 'consensus_round': 28.333333333333332, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.5928206607429016, 'loss': 1.6239609198844842, 'consensus_round': 39.33333333333333, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.631992776639484, 'loss': 1.3241060403115803, 'consensus_round': 48.333333333333336, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.7122290026486049, 'loss': 0.94412072248643, 'consensus_round': 58.33333333333334, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.712419776209173, 'loss': 0.9673828119059884, 'consensus_round': 68.66666666666666, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6760069525729829, 'loss': 1.0616814035683955, 'consensus_round': 78.66666666666667, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.7279016146388335, 'loss': 0.9165430733673845, 'consensus_round': 88.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.7155631733158743, 'loss': 0.9106280145985323, 'consensus_round': 98.33333333333333, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.7501883550038659, 'loss': 0.8103064411163087, 'consensus_round': 108.33333333333333, 'consensus_poisoning': 0.012839010136060633, 'norm': 0.0},
{'accuracy': 0.7300605712711333, 'loss': 0.8615787848311158, 'consensus_round': 115.66666666666667, 'consensus_poisoning': 0.023716158986102843, 'norm': 0.0},
{'accuracy': 0.7486421433196462, 'loss': 0.8243024093759296, 'consensus_round': 128.33333333333334, 'consensus_poisoning': 0.03900806977093879, 'norm': 0.0},
{'accuracy': 0.7066980371752354, 'loss': 0.9898778266590423, 'consensus_round': 138.33333333333334, 'consensus_poisoning': 0.04441141435543889, 'norm': 0.0},
{'accuracy': 0.7335874601218362, 'loss': 0.8279919016949507, 'consensus_round': 147.66666666666666, 'consensus_poisoning': 0.06262127575958538, 'norm': 0.0},
{'accuracy': 0.6941590195322446, 'loss': 0.989162267865661, 'consensus_round': 158.66666666666666, 'consensus_poisoning': 0.06703684674359414, 'norm': 0.0},
{'accuracy': 0.7397079532112213, 'loss': 0.8077175040182095, 'consensus_round': 167.66666666666669, 'consensus_poisoning': 0.07149205993715138, 'norm': 0.0},
{'accuracy': 0.7286361199121217, 'loss': 0.7699580150069147, 'consensus_round': 177.33333333333334, 'consensus_poisoning': 0.07131511156103143, 'norm': 0.0},
{'accuracy': 0.7926529896236768, 'loss': 0.6362088917830311, 'consensus_round': 188.33333333333334, 'consensus_poisoning': 0.0791323450980772, 'norm': 0.0},
{'accuracy': 0.7347946486121109, 'loss': 0.8703028792822096, 'consensus_round': 198.0, 'consensus_poisoning': 0.08480283058779024, 'norm': 0.0},


{'accuracy': 0.02139013550453855, 'loss': 4.122910935514972, 'consensus_round': 0.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.06752865548402125, 'loss': 3.6739774735516177, 'consensus_round': 7.21750640107625, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.16051697979753202, 'loss': 3.605216404987143, 'consensus_round': 18.666666666666668, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.4104441966099745, 'loss': 2.5209958095351452, 'consensus_round': 29.333333333333332, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.5120208595993847, 'loss': 1.800272666740382, 'consensus_round': 37.66666666666667, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.5262373772835702, 'loss': 1.7497138183695817, 'consensus_round': 48.333333333333336, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6546142308949842, 'loss': 1.261785578684631, 'consensus_round': 58.66666666666667, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6559384719358028, 'loss': 1.2469856725480362, 'consensus_round': 69.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.7122122631890229, 'loss': 1.0070636781494495, 'consensus_round': 78.33333333333334, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6781400518555326, 'loss': 1.039213915230744, 'consensus_round': 87.66666666666667, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6891828503647792, 'loss': 1.0774206475600536, 'consensus_round': 97.66666666666667, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6661009227140965, 'loss': 1.1760426654828144, 'consensus_round': 107.66666666666667, 'consensus_poisoning': 0.03437207699502782, 'norm': 0.0},
{'accuracy': 0.74724119993584, 'loss': 0.8062486492720256, 'consensus_round': 117.33333333333333, 'consensus_poisoning': 0.05696316262353998, 'norm': 0.0},
{'accuracy': 0.6593513715696402, 'loss': 1.280695640220104, 'consensus_round': 125.40544046392735, 'consensus_poisoning': 0.08599094174281804, 'norm': 0.0},
{'accuracy': 0.7496733915092112, 'loss': 0.8173658918332994, 'consensus_round': 135.33333333333334, 'consensus_poisoning': 0.09855371455235584, 'norm': 0.0},
{'accuracy': 0.7141750787790443, 'loss': 0.9125865058684155, 'consensus_round': 147.66666666666666, 'consensus_poisoning': 0.12738201531968033, 'norm': 0.0},
{'accuracy': 0.7195362087769288, 'loss': 0.9031321235003102, 'consensus_round': 158.66666666666666, 'consensus_poisoning': 0.13094976839007708, 'norm': 0.0},
{'accuracy': 0.6761027407312002, 'loss': 1.102411710169727, 'consensus_round': 165.66666666666669, 'consensus_poisoning': 0.15163316692368684, 'norm': 0.0},
{'accuracy': 0.7620540780198786, 'loss': 0.7512989459873174, 'consensus_round': 178.33333333333334, 'consensus_poisoning': 0.15268722818497385, 'norm': 0.0},
{'accuracy': 0.7200724996272097, 'loss': 1.0686247175657226, 'consensus_round': 186.33333333333334, 'consensus_poisoning': 0.15996733702839222, 'norm': 0.0},
{'accuracy': 0.7489268292386061, 'loss': 0.8359543031082252, 'consensus_round': 197.66666666666666, 'consensus_poisoning': 0.16309258306170296, 'norm': 0.0},


{'accuracy': 0.02139013550453855, 'loss': 4.122910935514972, 'consensus_round': 0.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.11749604195018917, 'loss': 3.8109053522968916, 'consensus_round': 8.666666666666666, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.22530439368506783, 'loss': 3.584846786526504, 'consensus_round': 19.333333333333332, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.3394842593674992, 'loss': 3.1421580508825375, 'consensus_round': 26.333333333333332, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.46182015430244366, 'loss': 2.1382071014953388, 'consensus_round': 38.33333333333333, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.5436005750419918, 'loss': 1.7220204717774183, 'consensus_round': 48.666666666666664, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6384854109339744, 'loss': 1.270618964750693, 'consensus_round': 57.66666666666666, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6190087802740566, 'loss': 1.348013970850651, 'consensus_round': 67.66666666666667, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6091035507584484, 'loss': 1.3966305001379395, 'consensus_round': 78.33333333333334, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6727791959933698, 'loss': 1.0928679935159966, 'consensus_round': 89.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6855344619253354, 'loss': 1.051050793569802, 'consensus_round': 98.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.5770317192275354, 'loss': 1.6813728989714156, 'consensus_round': 107.66666666666667, 'consensus_poisoning': 0.05650080256821829, 'norm': 0.0},
{'accuracy': 0.6816848064582902, 'loss': 1.0097384545093628, 'consensus_round': 119.33333333333333, 'consensus_poisoning': 0.09569814072183742, 'norm': 0.0},
{'accuracy': 0.6999834123848107, 'loss': 1.0540267114469002, 'consensus_round': 127.66666666666667, 'consensus_poisoning': 0.11909532764853886, 'norm': 0.0},
{'accuracy': 0.6230443178072507, 'loss': 1.4434992589864832, 'consensus_round': 138.33333333333334, 'consensus_poisoning': 0.14731568373133952, 'norm': 0.0},
