# 2-fedasync
{'accuracy': 0.09752607261024936, 'loss': 0.0},
{'accuracy': 0.6598284622889943, 'loss': 0.0},
{'accuracy': 0.7222858690398049, 'loss': 0.0},
{'accuracy': 0.7512738926295217, 'loss': 0.0},
{'accuracy': 0.8053551787507214, 'loss': 0.0},
{'accuracy': 0.8136850273333575, 'loss': 0.0},
{'accuracy': 0.8101960013678082, 'loss': 0.0},
{'accuracy': 0.8413390355617558, 'loss': 0.0},
{'accuracy': 0.842043118899652, 'loss': 0.0},
{'accuracy': 0.8664431439029981, 'loss': 0.0},
{'accuracy': 0.8305661404086606, 'loss': 0.0},
{'accuracy': 0.8302826949036746, 'loss': 0.0},
{'accuracy': 0.8167897430482993, 'loss': 0.0},
{'accuracy': 0.8297138177713537, 'loss': 0.0},
{'accuracy': 0.8049636933333615, 'loss': 0.0},
{'accuracy': 0.804769527096638, 'loss': 0.0},
{'accuracy': 0.83047756400287, 'loss': 0.0},
{'accuracy': 0.8564928506810489, 'loss': 0.0},
{'accuracy': 0.8134138404615718, 'loss': 0.0},
{'accuracy': 0.7931053602628823, 'loss': 0.0},
{'accuracy': 0.795677812698344, 'loss': 0.0},
{'accuracy': 0.8397016006145216, 'loss': 0.0},
{'accuracy': 0.7956514625922645, 'loss': 0.0},
{'accuracy': 0.8122288542477187, 'loss': 0.0},
{'accuracy': 0.7996435854362417, 'loss': 0.0},
{'accuracy': 0.8459043273186309, 'loss': 0.0},
{'accuracy': 0.7870266289329078, 'loss': 0.0},
{'accuracy': 0.8001102594845781, 'loss': 0.0},
{'accuracy': 0.8272676191187678, 'loss': 0.0},
{'accuracy': 0.7920666166348729, 'loss': 0.0},
{'accuracy': 0.795173785803345, 'loss': 0.0},
{'accuracy': 0.79916959657484, 'loss': 0.0},
{'accuracy': 0.8421727380896599, 'loss': 0.0},
{'accuracy': 0.7087433443520589, 'loss': 0.0},
{'accuracy': 0.8083679242439024, 'loss': 0.0},
{'accuracy': 0.748586258467077, 'loss': 0.0},
{'accuracy': 0.7771868657055043, 'loss': 0.0},
{'accuracy': 0.7556357285720132, 'loss': 0.0},
{'accuracy': 0.762821262725012, 'loss': 0.0},
{'accuracy': 0.7886134514565999, 'loss': 0.0},
{'accuracy': 0.7516667480208822, 'loss': 0.0},
{'accuracy': 0.7785434948133032, 'loss': 0.0},
{'accuracy': 0.786566115537919, 'loss': 0.0},
{'accuracy': 0.7786045923586895, 'loss': 0.0},
{'accuracy': 0.7742699409690481, 'loss': 0.0},
{'accuracy': 0.7987745928954586, 'loss': 0.0},
{'accuracy': 0.7804337684125926, 'loss': 0.0},
{'accuracy': 0.7450524776549818, 'loss': 0.0},
{'accuracy': 0.7465858124365483, 'loss': 0.0},
{'accuracy': 0.7724541350763418, 'loss': 0.0},
{'accuracy': 0.7265792659884736, 'loss': 0.0},
{'accuracy': 0.7283130931282153, 'loss': 0.0},
{'accuracy': 0.7595969877611523, 'loss': 0.0},
{'accuracy': 0.7485980299235457, 'loss': 0.0},
{'accuracy': 0.7341131685967193, 'loss': 0.0},
{'accuracy': 0.7471422810755952, 'loss': 0.0},
{'accuracy': 0.7654952647196223, 'loss': 0.0},
{'accuracy': 0.7795540090109685, 'loss': 0.0},
{'accuracy': 0.7755712894994558, 'loss': 0.0},
{'accuracy': 0.7314487573719307, 'loss': 0.0},
{'accuracy': 0.7367482542902918, 'loss': 0.0},
{'accuracy': 0.7765254297158134, 'loss': 0.0},
{'accuracy': 0.7484558966471482, 'loss': 0.0},
{'accuracy': 0.7073721390751295, 'loss': 0.0},
{'accuracy': 0.7109245520083969, 'loss': 0.0},
{'accuracy': 0.7310378874171131, 'loss': 0.0},
{'accuracy': 0.7499540685842219, 'loss': 0.0},
{'accuracy': 0.7615335787967357, 'loss': 0.0},
{'accuracy': 0.6773561071910442, 'loss': 0.0},
{'accuracy': 0.7374241585039694, 'loss': 0.0},
{'accuracy': 0.7530377994873514, 'loss': 0.0},
{'accuracy': 0.7523691110915379, 'loss': 0.0},
{'accuracy': 0.7236283040686378, 'loss': 0.0},
{'accuracy': 0.737683284836782, 'loss': 0.0},
{'accuracy': 0.7375626944914486, 'loss': 0.0},
{'accuracy': 0.7754442924181733, 'loss': 0.0},
{'accuracy': 0.6881721714083143, 'loss': 0.0},
{'accuracy': 0.7375384923692387, 'loss': 0.0},
{'accuracy': 0.7376167718321667, 'loss': 0.0},
{'accuracy': 0.7645401861779402, 'loss': 0.0},
{'accuracy': 0.6920326224097626, 'loss': 0.0},
{'accuracy': 0.718196891784174, 'loss': 0.0},
{'accuracy': 0.7100639623877307, 'loss': 0.0},
{'accuracy': 0.6689123304696403, 'loss': 0.0},
{'accuracy': 0.7310005428464059, 'loss': 0.0},
{'accuracy': 0.7254255935085807, 'loss': 0.0},
{'accuracy': 0.6327297383417974, 'loss': 0.0},
{'accuracy': 0.7032721733350411, 'loss': 0.0},
{'accuracy': 0.6980073917814178, 'loss': 0.0},
{'accuracy': 0.7171615778227957, 'loss': 0.0},
{'accuracy': 0.6563092425707746, 'loss': 0.0},
{'accuracy': 0.6719999658680549, 'loss': 0.0},
{'accuracy': 0.7213385173517874, 'loss': 0.0},
{'accuracy': 0.6643895973523029, 'loss': 0.0},
{'accuracy': 0.710291408843301, 'loss': 0.0},
{'accuracy': 0.7100024662370853, 'loss': 0.0},
{'accuracy': 0.692645009638942, 'loss': 0.0},
{'accuracy': 0.6703975031373755, 'loss': 0.0},
{'accuracy': 0.7002636577719263, 'loss': 0.0},
{'accuracy': 0.7563701991814664, 'loss': 0.0},
{'accuracy': 0.7204960140536234, 'loss': 0.0},
